seriesId,platformId,platformUrl
1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,19,https://www.itv.com/watch/community/10a3915/10a3915a0001
1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.d8a9f695-80da-78f6-022a-af92de6ba7af
1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,5,https://www.skystore.com/product/community-season-1/b2703e8f-4df5-4ddb-abda-0c6e7d1f7524
1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,4,https://tv.apple.com/gb/show/community/umc.cmc.4nernxq22u93vwrjpt6kfk3m5?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwxcn3xb
1ef30d40-2ba9-6d06-aded-9048c1678755,10,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.c2a9f68e-f879-f5f7-1acb-02132a1b6bab
1ef30d40-2ba9-6d06-aded-9048c1678755,4,https://tv.apple.com/gb/show/twin-peaks/umc.cmc.1n2apxyl1chm6vcebyfefmqdk?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-2ba9-6d06-aded-9048c1678755,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.48a9f68a-8e62-6ece-eda2-1139723eff65
1ef30d40-3687-6c5b-831f-f34457b170e3,7,http://www.channel4.com/programmes/smiling-friends/on-demand/73651-001
1ef30d40-3687-6c5b-831f-f34457b170e3,11,https://www.sky.com/watch/sky-go/all?uuid=f5b67e3c-0f35-4c7b-9890-d26ad648020e&videoId=9649348
1ef30d40-3687-6c5b-831f-f34457b170e3,4,https://tv.apple.com/gb/show/smiling-friends/umc.cmc.qf772cmp3lg33iym2b834ab5?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-3687-6c5b-831f-f34457b170e3,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.c41378c6-11c7-4e79-8b8d-7d56978b9d08
1ef30d40-41a5-6d6f-9c6e-2b899e2a0feb,16,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.fa550fd1-6a57-4e3e-9ec9-bf6afea10a11
1ef30d40-4d2e-69b3-a34a-6c5e8a0d47e1,11,https://www.sky.com/watch/sky-go/all?uuid=36f95cd3-0da9-33b0-b4b4-70a4db1d27f2&videoId=9201354
1ef30d40-4d2e-69b3-a34a-6c5e8a0d47e1,17,http://www.bbc.co.uk/iplayer/episode/p0f2cz7f
1ef30d40-4d2e-69b3-a34a-6c5e8a0d47e1,4,https://tv.apple.com/gb/show/blue-lights/umc.cmc.43t373zlcdijxxzzll3zeexsg?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-4d2e-69b3-a34a-6c5e8a0d47e1,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.7a8780c8-9f63-4975-840e-e5ea12f3dbc7
1ef30d40-4d2e-69b3-a34a-6c5e8a0d47e1,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwxzbncs
1ef30d40-58c0-69c4-9f14-d503253da2d2,18,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.8a316877-944b-4847-a3b9-1cc7294d1b92
1ef30d40-58c0-69c4-9f14-d503253da2d2,7,http://www.channel4.com/programmes/the-great/on-demand/71200-001
1ef30d40-58c0-69c4-9f14-d503253da2d2,11,https://www.sky.com/watch/sky-go/all?uuid=68ff8bb6-46b2-4b06-a6c2-c20903999a79&videoId=10208065
1ef30d40-58c0-69c4-9f14-d503253da2d2,4,https://tv.apple.com/gb/show/the-great/umc.cmc.2agykyp77ydi2x8qj5qi9wk5h?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-58c0-69c4-9f14-d503253da2d2,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.d4bbfd92-1321-105e-4853-ff44a10e7b17
1ef30d40-6473-60f8-b0e0-073a3732289d,8,http://www.netflix.com/title/81221380
1ef30d40-6473-60f8-b0e0-073a3732289d,4,https://tv.apple.com/gb/show/sweet-tooth/umc.cmc.5zxjzg5hmpxhtylk0ubgpg3dn?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-6473-60f8-b0e0-073a3732289d,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.22ee666e-3f5a-4d95-888a-fca2b8c40a54
1ef30d40-6473-60f8-b0e0-073a3732289d,5,https://www.skystore.com/product/sweet-tooth-season-1/e84d2fef-8c02-43d2-b9c7-c78acabce15b
1ef30d40-702b-63d0-8404-865d49e013b2,1,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fwhat-we-do-in-the-shadows%2F40SsBvhCRbp1&subId3=justappsvod
1ef30d40-702b-63d0-8404-865d49e013b2,11,https://www.sky.com/watch/sky-go/all?uuid=30aad0d8-80d7-4dc6-b8d0-984a29a7c8fc&videoId=9594025
1ef30d40-702b-63d0-8404-865d49e013b2,17,http://www.bbc.co.uk/iplayer/episode/m0005bkw
1ef30d40-702b-63d0-8404-865d49e013b2,4,https://tv.apple.com/gb/show/what-we-do-in-the-shadows/umc.cmc.2bss05wnkfezkywhivjc7ikml?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-702b-63d0-8404-865d49e013b2,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.4ab56a81-31e3-8d3a-9e06-981f179a9251
1ef30d40-702b-63d0-8404-865d49e013b2,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwxn3ztb
